Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,Country or Territory of Domicile,Number of Employees,Total Assets,R&D Expense,R&D Expense Adjusted,Operating Expenses R&D,Cash and Cash Equivalents,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Tobin's Q Ratio,Return on Assets,Return on Common Equity,Gross Margin
WFC UN Equity,Wells Fargo & Co,2017,US9497461015,6021,401010,US,262700,1951757,,,,23367,55.3571,45,83.9286,1.059,1.1429,11.5275,
NUE UN Equity,Nucor Corp,2017,US6703461052,3312,151040,US,25100,15841.258,0,0,0,949.104,42.6357,19.2982,60.7143,1.7245,8.4899,15.815,12.6869
DGII UW Equity,Digi International Inc,2017,US2537981027,3576,452010,US,514,345.189,28.566,28.566,28.566,78.222,,14.0351,51.7857,0.8914,2.7601,3.0373,48.1047
OXY UN Equity,Occidental Petroleum Corp,2017,US6745991058,1311,101020,US,11000,42026,0,0,0,1672,60.3306,35.9375,69.6429,1.8515,3.0798,6.2611,55.2766
DIOD UW Equity,Diodes Inc,2017,US2545431015,3674,453010,US,8586,1488.673,77.877,77.877,77.877,203.82,1.5504,3.5088,55.3571,1.3876,-0.1196,-0.2246,33.8432
OMC UN Equity,Omnicom Group Inc,2017,US6819191064,7311,502010,US,77300,24931.2,0,0,0,3796,25.5814,33.3333,60.7143,1.5673,4.5259,45.5004,
OKE UN Equity,ONEOK Inc,2017,US6826801036,4923,101020,US,2470,16845.937,0,0,0,37.193,37.1901,51.5625,64.2857,1.9052,2.3516,13.5421,11.556
MRNA UW Equity,Moderna Inc,2017,US60770K1079,2836,352010,US,700,1084.489,410.459,410.459,410.459,134.859,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-20.4598,,
FHB UW Equity,First Hawaiian Inc,2017,US32051X1081,6022,401010,US,2300,20549.461,,,,367.084,1.7857,8.3333,51.7857,1.075,0.9136,7.334,
LCII UN Equity,LCI Industries,2017,US50189K1034,3714,251010,US,9852,945.858,14,14,14,26.049,1.5504,19.2982,51.7857,3.7446,15.3378,22.0918,22.9593
WEN UW Equity,Wendy's Co/The,2017,US95058W1009,5810,253010,US,12100,4096.938,0,0,0,171.447,3.125,22.807,51.7857,1.824,4.8288,35.2479,58.0723
EGP UN Equity,EastGroup Properties Inc,2017,US2772761019,6798,601010,US,69,1953.221,,,,0.016,1.5504,3.5088,51.7857,2.189,4.4024,11.9935,
PH UN Equity,Parker-Hannifin Corp,2017,US7010941042,3490,201060,US,56690,15489.904,336.675,336.675,336.675,884.886,17.0543,19.2982,51.7857,2.0345,7.1458,19.9943,24.1933
PPL UN Equity,PPL Corp,2017,US69351T1060,4911,551010,US,12512,41479,0,,,485,45.5172,51.5625,69.6429,1.258,2.8273,10.9003,80.6096
EZPW UW Equity,EZCORP Inc,2017,US3023011063,5900,402020,US,,1024.363,0,0,0,164.393,3.125,17.5439,51.7857,0.8579,3.1737,5.0675,58.2268
EXPO UW Equity,Exponent Inc,2017,US30214U1025,8742,202020,US,1075,439.589,0,0,0,124.794,,3.5088,51.7857,4.5103,9.7957,14.6879,34.323
COP UN Equity,ConocoPhillips,2017,US20825C1045,2911,101020,US,11400,73362,100,0,0,6325,61.157,54.6875,69.6429,1.4635,-1.0482,-2.6075,13.1073
FNB UN Equity,FNB Corp/PA,2017,US3025201019,6021,401010,US,4215,31417.635,,,,408.718,1.7857,8.3333,51.7857,1.0055,0.748,5.6565,
PHM UN Equity,PulteGroup Inc,2017,US7458671010,1531,252010,US,4810,9686.649,0,0,0,272.683,,19.2982,55.3571,1.5555,4.5026,10.0449,21.7168
MYRG UW Equity,MYR Group Inc,2017,US55405W1045,1623,201030,US,5275,603.788,0,0,0,5.343,1.5504,14.0351,58.9286,1.4989,3.5937,7.6894,8.9078
PNW UN Equity,Pinnacle West Capital Corp,2017,US7234841010,4911,551010,US,6292,17019.082,0,,,13.892,51.7241,29.6875,66.0714,1.2651,2.9582,9.958,72.4763
LNTH UQ Equity,Lantheus Holdings Inc,2017,US5165441032,2835,351010,US,483,383.858,18.125,18.125,18.125,76.29,1.5504,19.2982,51.7857,2.9513,38.5725,#N/A N/A,48.9275
FELE UW Equity,Franklin Electric Co Inc,2017,US3535141028,3621,201060,US,5600,1185.353,20.8,0,0,67.233,1.5504,3.5088,55.3571,2.2145,7.0266,11.8073,33.5122
PBI UN Equity,Pitney Bowes Inc,2017,US7244791007,3579,202010,US,14700,6678.715,60.857,60.857,60.857,1009.021,31.7829,57.8947,51.7857,1.2842,3.8915,#N/A N/A,53.9628
FFBC UW Equity,First Financial Bancorp,2017,US3202091092,6021,401010,US,1363,8896.923,,,,150.65,1.7857,3.3333,51.7857,1.0792,1.1167,10.7787,
FBP UN Equity,First BanCorp/Puerto Rico,2017,PR3186727065,6022,401010,PR,2553,12261.268,,,,705.98,,18.3333,55.3571,0.9405,0.5537,3.5879,
PNC UN Equity,PNC Financial Services Group Inc/The,2017,US6934751057,6021,401010,US,50358,380768,,,,5249,41.9643,56.6667,71.4286,1.065,1.4289,11.9138,
FICO UN Equity,Fair Isaac Corp,2017,US3032501047,7389,451030,US,3299,1255.62,110.87,110.87,110.87,105.618,,19.2982,46.4286,4.0444,10.3587,29.3705,69.1984
PPG UN Equity,PPG Industries Inc,2017,US6935061076,2851,151010,US,47200,16538,451,451,451,1436,50.3876,43.8596,60.7143,2.4382,9.8672,30.6952,44.3382
FMBI UW Equity,First Midwest Bancorp Inc/IL,2017,US3208671046,6021,401010,US,2152,14077.052,,,,192.8,1.7857,3.3333,55.3571,1.0427,0.7717,6.2442,
PGR UN Equity,Progressive Corp/The,2017,US7433151039,6331,403010,US,33656,38701.2,,,,265,9.8214,18.3333,55.3571,1.6066,4.4149,18.469,
PEG UN Equity,Public Service Enterprise Group Inc,2017,US7445731067,4931,551030,US,12945,42716,0,,,313,46.2069,45.3125,75,1.2847,3.8026,11.6692,69.4524
FUL UN Equity,HB Fuller Co,2017,US3596941068,2891,151010,US,5965,4373.243,30.072,30.072,30.072,194.398,11.6279,33.3333,55.3571,1.4008,1.8477,5.9738,26.2385
MMI UN Equity,Marcus & Millichap Inc,2017,US5663241090,6531,601020,US,774,459.664,,,,220.786,,3.5088,51.7857,3.0373,12.071,17.9607,
FULT UW Equity,Fulton Financial Corp,2017,US3602711000,6021,401010,US,3700,20036.905,,,,108.291,1.7857,13.3333,55.3571,1.0452,0.8812,7.8949,
RHI UN Equity,Robert Half International Inc,2017,US7703231032,7363,202020,US,17200,1867.454,0,0,0,294.753,13.1783,33.3333,51.7857,4.1038,15.9424,26.5148,41.0841
GBCI UW Equity,Glacier Bancorp Inc,2017,US37637Q1058,6022,401010,US,2278,9706.349,,,,139.948,1.7857,18.3333,51.7857,1.193,1.215,10.0501,
GVA UN Equity,Granite Construction Inc,2017,US3873281071,1600,201030,US,1900,1871.978,0,0,0,233.711,3.876,17.5439,55.3571,1.8461,3.833,7.5472,10.5339
R UN Equity,Ryder System Inc,2017,US7835491082,7510,203040,US,36100,11463.999,0,0,0,78.348,35.6589,38.5965,66.0714,1.1409,7.0805,32.2431,20.0597
GNTX UW Equity,Gentex Corp,2017,US3719011096,3714,251010,US,5481,2352.0539,99.7264,99.7264,99.7264,569.7345,39.5349,24.5614,51.7857,2.6251,17.4526,20.5453,38.6951
EIX UN Equity,Edison International,2017,US2810201077,4911,551010,US,12521,52580,0,,,1091,33.1034,51.5625,69.6429,1.1699,1.3263,4.7746,60.4464
HVT UN Equity,Haverty Furniture Cos Inc,2017,US4195961010,5712,255040,US,3551,461.329,0,0,0,79.491,,14.0351,55.3571,1.4042,4.6024,7.3175,54.2678
SLB UN Equity,Schlumberger NV,2017,AN8068571086,1389,101010,US,100000,71987,787,787,787,1799,51.1628,61.4035,69.6429,1.7838,-2.0074,-3.8629,12.8022
PNTG UW Equity,Pennant Group Inc/The,2017,US70805E1091,8000,351020,US,,98.151,0,0,0,0.041,,,,,,,13.0211
HWC UW Equity,Hancock Whitney Corp,2017,US4101201097,6022,401010,US,3887,27336.086,,,,386.948,1.7857,3.3333,51.7857,1.0487,0.8405,7.528,
SCHW UN Equity,Charles Schwab Corp/The,2017,US8085131055,6211,402030,US,17600,243274,,,,14217,8.0357,13.3333,51.7857,1.2196,1.0089,14.9004,
SHW UN Equity,Sherwin-Williams Co/The,2017,US8243481061,5200,151010,US,52695,19899.5,0,0,0,204.2,43.4109,33.3333,60.7143,2.7512,12.9664,62.5332,44.8404
HCSG UW Equity,Healthcare Services Group Inc,2017,US4219061086,8050,202010,US,6700,676.003,0,0,0,9.557,,22.807,51.7857,6.1355,14.65,23.8838,13.5907
SJM UN Equity,J M Smucker Co/The,2017,US8326964058,2033,302020,US,6910,15639.7,58.1,0,0,166.8,23.2558,28.0702,66.0714,1.4811,3.7459,8.5073,38.3548
HELE UW Equity,Helen of Troy Ltd,2017,BMG4388N1065,3634,252010,US,#N/A N/A,1813.096,0,0,0,23.848,#N/A N/A,#N/A N/A,48.2143,1.8935,7.6837,14.4237,41.4137
SNA UN Equity,Snap-on Inc,2017,US8330341012,3420,201060,US,12600,5249.1,60.9,0,0,92,14.7287,19.2982,58.9286,2.3197,11.185,20.0212,51.0812
HNGR UN Equity,Hanger Inc,2017,US41043F2083,8093,351020,US,4600,640.423,0,0,0,1.508,#N/A N/A,22.807,32.1429,1.9383,-15.0009,-92.3186,68.3673
SO UN Equity,Southern Co/The,2017,US8425871071,4911,551010,US,31344,111005,0,,,2130,32.4138,42.1875,66.0714,1.2188,0.7975,3.442,67.9693
TFC UN Equity,Truist Financial Corp,2017,US89832Q1094,6021,401010,US,36484,221642,,,,2243,11.6071,41.6667,55.3571,1.0559,1.0859,8.3398,
LUV UN Equity,Southwest Airlines Co,2017,US8447411088,4512,203020,US,56100,25110,0,0,0,1495,41.0853,42.1053,62.5,2.0564,13.873,37.1308,
GPI UN Equity,Group 1 Automotive Inc,2017,US3989051095,5511,255040,US,14108,4871.065,0,0,0,28.787,1.5504,17.5439,55.3571,1.0737,4.5739,20.047,14.7928
SWN UN Equity,Southwestern Energy Co,2017,US8454671095,1311,101020,US,960,7521,0,0,0,916,25.6198,35.9375,69.6429,1.3462,14.3317,#N/A N/A,50.4096
HTLD UW Equity,Heartland Express Inc,2017,US4223471040,4213,203040,US,3800,789.127,0,0,0,75.378,1.5504,8.7719,51.7857,2.7356,9.8436,13.9149,16.9234
VVI UN Equity,Viad Corp,2017,US92552R4065,7389,202010,US,1183,919.899,0,0,0,53.723,1.5504,14.0351,46.4286,1.7631,6.4487,14.4966,7.2248
HWKN UW Equity,Hawkins Inc,2017,US4202611095,5160,151010,US,659,418.584,0,0,0,6.861,#N/A N/A,#N/A N/A,48.2143,1.7184,5.2756,10.7712,20.2801
SWK UN Equity,Stanley Black & Decker Inc,2017,US8545021011,3420,201060,US,57765,19097.7,252.3,252.3,252.3,637.5,31.7829,24.5614,57.1429,1.9732,7.0671,17.6346,36.8508
ICUI UW Equity,ICU Medical Inc,2017,US44930G1076,3841,351010,US,6802,1496.951,51.253,51.253,51.253,290.072,,7.0175,51.7857,3.1157,6.2357,7.3874,32.9638
PSA UN Equity,Public Storage,2017,US74460D1090,6798,601010,US,5600,10732.892,,,,433.376,8.5271,14.0351,55.3571,3.9275,13.8254,23.5277,
CAL UN Equity,Caleres Inc,2017,US1295001044,3140,255040,US,12000,1475.273,0,0,0,55.332,3.125,24.5614,55.3571,1.4508,4.726,10.5233,41.1722
GT UW Equity,Goodyear Tire & Rubber Co/The,2017,US3825501014,3011,251010,US,64000,17064,406,0,0,1043,47.2868,33.3333,66.0714,1.1847,2.0611,7.596,24.0424
IDXX UW Equity,IDEXX Laboratories Inc,2017,US45168D1046,2835,351010,US,7600,1713.416,109.182,109.182,109.182,187.675,6.9767,24.5614,55.3571,8.9814,16.2228,,55.7313
PLAY UW Equity,Dave & Buster's Entertainment Inc,2017,US2383371091,5812,253010,US,13983,1052.733,0,0,0,20.083,,19.2982,51.7857,2.7795,8.8303,23.1092,82.0625
TILE UW Equity,Interface Inc,2017,US4586653044,2273,202010,US,3092,800.6,14,,,87.037,30.2326,3.5088,51.7857,2.4664,6.4927,15.8749,38.7399
DIN UN Equity,Dine Brands Global Inc,2017,US2544231069,5812,253010,US,520,1735.612,0,0,0,117.01,10.4167,19.2982,55.3571,1.6501,-17.0769,38.3138,46.2894
SYY UN Equity,Sysco Corp,2017,US8718291078,5140,301010,US,66500,17756.655,0,0,0,869.502,41.0853,31.5789,51.7857,2.3682,6.6273,38.9858,19.0668
IIVI UW Equity,II-VI Inc,2017,US9021041085,3827,452030,US,10349,1477.297,96.81,96.81,96.81,271.888,3.1008,19.2982,55.3571,1.8564,7.0855,11.3226,39.9521
INDB UW Equity,Independent Bank Corp,2017,US4538361084,6022,401010,US,1108,8082.029,,,,103.485,,8.3333,55.3571,1.1205,1.1044,9.6438,
TXN UW Equity,Texas Instruments Inc,2017,US8825081040,3674,453010,US,29714,17642,1508,1508,1508,1656,56.5891,33.3333,66.0714,6.2343,21.6124,35.0697,64.2604
GFF UN Equity,Griffon Corp,2017,US3984331021,3442,201020,US,4700,1873.541,0,0,0,47.681,#N/A N/A,14.0351,51.7857,1.3453,0.8158,3.6831,26.7624
TXT UN Equity,Textron Inc,2017,US8832031012,3720,201010,US,37000,15340,634,0,0,1262,34.8837,28.0702,55.3571,1.5966,2.0001,5.4719,16.6995
DOC UN Equity,Physicians Realty Trust,2017,US71943U1043,6798,601010,US,63,4164.383,,,,2.727,1.5504,24.5614,51.7857,1.1899,1.0818,1.7767,
IVC UN Equity,Invacare Corp,2017,US4612031017,3842,351010,US,4200,1066.033,17.796,0,0,176.528,1.5504,14.0351,55.3571,1.122,-7.7715,-18.1016,27.8584
TMO UN Equity,Thermo Fisher Scientific Inc,2017,US8835561023,3829,352030,US,70000,56669,887,887,887,1335,33.3333,28.0702,69.6429,1.8962,4.3382,9.4776,45.1668
REXR UN Equity,Rexford Industrial Realty Inc,2017,US76169C1009,6798,601010,US,98,2111.373,,,,6.62,1.5504,19.2982,51.7857,1.5276,2.2453,3.4013,
IPAR UW Equity,Inter Parfums Inc,2017,US4583341098,2844,303020,US,355,777.772,0,0,0,208.343,1.5504,3.5088,48.2143,2.1882,5.6971,10.3508,63.6423
CDAY UN Equity,Ceridian HCM Holding Inc,2017,US15677J1088,6719,451030,US,#N/A N/A,6729.9,19,0,0,94.2,,22.807,26.7857,#N/A N/A,-0.1409,-1.0772,39.2516
BCO UN Equity,Brink's Co/The,2017,US1096961040,4731,202010,US,62300,3059.6,0,0,0,614.3,3.1008,19.2982,55.3571,2.1952,0.6608,5.1031,22.0735
TJX UN Equity,TJX Cos Inc/The,2017,US8725401090,5651,255040,US,235000,12883.808,0,0,0,2929.849,46.875,28.0702,62.5,4.3752,18.8579,52.1279,28.984
JJSF UW Equity,J & J Snack Foods Corp,2017,US4660321096,2052,302020,US,4200,867.228,0.674,0.674,0.674,90.962,,8.7719,51.7857,3.0388,9.5522,11.9934,30.5309
ITRI UW Equity,Itron Inc,2017,US4657411066,3825,452030,US,7800,2106.147,169.407,169.407,169.407,176.274,39.5349,14.0351,51.7857,1.8821,3.1107,8.0814,33.5325
GL UN Equity,Globe Life Inc,2017,US37959E1029,6311,403010,US,3102,23474.985,,,,118.563,,21.6667,55.3571,1.1774,6.4772,26.9394,
ICHR UW Equity,Ichor Holdings Ltd,2017,KYG4740B1059,3674,453010,US,1420,557.684,7.899,7.899,7.899,68.794,1.5504,19.2982,51.7857,1.6637,13.4386,31.5015,15.3624
JCI UN Equity,Johnson Controls International plc,2017,IE00BY7QL619,3999,201020,US,120000,51884,307,0,0,321,62.7907,54.386,71.4286,1.3265,2.8002,7.2299,32.9757
KEX UN Equity,Kirby Corp,2017,US4972661064,4400,203030,US,1330,5127.427,0,0,0,20.102,10.0775,28.0702,55.3571,1.1709,6.6513,11.2669,29.6385
UNP UN Equity,Union Pacific Corp,2017,US9078181081,4011,203040,US,42919,57806,0,0,0,1275,45.7364,54.386,64.2857,2.3816,18.8718,47.8342,
VIVO UW Equity,Meridian Bioscience Inc,2017,US5895841014,2835,351010,US,420,249.777,16.036,16.036,16.036,57.072,,3.5088,46.4286,2.7375,8.5953,12.8294,61.9073
UNH UN Equity,UnitedHealth Group Inc,2017,US91324P1021,6324,351020,US,260000,139058,0,0,0,11981,29.4574,29.8246,48.2143,2.1927,8.0636,24.5392,23.3701
HALO UW Equity,Halozyme Therapeutics Inc,2017,US40637H1095,2836,352010,US,255,519.945,150.643,150.643,150.643,168.74,,19.2982,51.7857,6.1631,16.1162,#N/A N/A,90.1609
ACA UN Equity,Arcosa Inc,2017,US0396531008,3523,201030,US,5490,1602.5,0,#N/A N/A,#N/A N/A,6.8,,#N/A N/A,#N/A N/A,#N/A N/A,5.7338,6.5243,20.1518
KLIC UW Equity,Kulicke & Soffa Industries Inc,2017,US5012421013,3674,453010,SG,2778,1171.107,100.203,100.203,100.203,392.41,27.1318,35.0877,60.7143,1.5073,11.7108,14.6071,47.228
UNM UN Equity,Unum Group,2017,US91529Y1064,6321,403010,US,9400,64013.1,,,,77.4,5.3571,21.6667,64.2857,1.0413,1.5787,10.7232,
MRO UN Equity,Marathon Oil Corp,2017,US5658491064,1311,101020,US,2300,22012,0,0,0,563,41.3223,59.375,71.4286,1.1219,-21.5531,-39.133,27.1005
X UN Equity,United States Steel Corp,2017,US9129091081,3312,151040,US,29200,9862,0,0,0,1553,24.031,33.3333,60.7143,1.2886,4.069,13.8363,11.3633
LANC UW Equity,Lancaster Colony Corp,2017,US5138471033,2030,302020,US,2800,716.405,0,0,0,143.104,1.5504,19.2982,50,4.8941,17.0692,21.1308,26.523
VTR UN Equity,Ventas Inc,2017,US92276F1003,6798,601010,US,493,23954.541,,,,81.355,40.3101,28.0702,71.4286,1.4387,5.7574,12.721,
VFC UN Equity,VF Corp,2017,US9182041080,2320,252030,US,69000,9958.502,0,0,0,566.075,36.4341,19.2982,55.3571,3.5677,6.2436,14.2001,50.5135
INCY UW Equity,Incyte Corp,2017,US45337C1027,8731,352010,US,1208,2302.582,1326.134,1326.134,1326.134,899.509,,19.2982,51.7857,8.9815,-15.8908,-30.549,94.8263
LNN UN Equity,Lindsay Corp,2017,US5355551061,3523,201060,US,1410,506.032,17.147,17.147,17.147,121.62,17.8295,19.2982,51.7857,2.2963,4.6659,8.8873,27.9954
BLFS UR Equity,BioLife Solutions Inc,2017,US09062W2044,3845,351010,US,40,12.143,1.193,1.193,1.193,6.663,1.5504,19.2982,51.7857,7.0971,-25.0628,-41.1521,61.2049
VNO UN Equity,Vornado Realty Trust,2017,US9290421091,6798,601010,US,3989,17397.934,,,,1817.655,36.4341,21.0526,62.5,1.6557,1.1903,3.4819,
KREF UN Equity,KKR Real Estate Finance Trust Inc,2017,US48251K1007,6798,402040,US,,7394.893,,,,103.12,,3.3333,51.7857,1.0021,0.8647,7.5573,
VMC UN Equity,Vulcan Materials Co,2017,US9291601097,1400,151020,US,7900,9504.891,0,0,0,141.646,22.4806,28.0702,58.9286,2.2644,6.6886,12.6017,25.5382
PRA UN Equity,ProAssurance Corp,2017,US74267C1062,6331,403010,US,994,4929.197,,,,134.495,1.7857,13.3333,51.7857,1.2962,2.1465,6.3217,
SPXC UN Equity,SPX Corp,2017,US7846351044,3540,201060,US,5000,2040.4,23.3,,,124.3,30.2326,33.3333,55.3571,1.5019,4.5182,35.2755,23.1589
GHC UN Equity,Graham Holdings Co,2017,US3846371041,8200,253020,US,6682,4937.823,0,0,0,390.014,,14.0351,51.7857,1.0321,6.4467,11.1477,47.5338
WY UN Equity,Weyerhaeuser Co,2017,US9621661043,6798,601010,US,9300,18059,14,14,14,824,54.2636,57.8947,69.6429,1.9818,3.1205,6.4384,26.3758
MEI UN Equity,Methode Electronics Inc,2017,US5915202007,3678,452030,US,4464,704,27.8,27.8,27.8,294,,19.2982,51.7857,2.5593,13.6628,18.3742,26.7361
WHR UN Equity,Whirlpool Corp,2017,US9633201069,3630,252010,US,92000,20038,596,0,0,1196,41.8605,24.5614,60.7143,1.388,1.7861,7.8029,16.9482
MMSI UW Equity,Merit Medical Systems Inc,2017,US5898891040,3841,351010,US,4876,1111.811,51.403,51.403,51.403,32.336,#N/A N/A,22.807,55.3571,2.3441,2.6791,4.6867,44.8241
WMB UN Equity,Williams Cos Inc/The,2017,US9694571004,4922,101020,US,5425,46352,0,0,0,899,23.9669,50,64.2857,1.335,4.6659,30.4077,71.361
MSA UN Equity,MSA Safety Inc,2017,US5534981064,3842,202010,US,4700,1684.826,50.1,50.061,50.061,134.244,1.5504,19.2982,51.7857,2.4061,1.713,4.5137,45.1532
WEC UN Equity,WEC Energy Group Inc,2017,US92939U1060,4931,551030,US,8129,31590.5,0,,,38.9,47.5862,46.875,64.2857,1.3641,3.9048,13.09,63.0934
MNRO UW Equity,Monro Inc,2017,US6102361010,7500,255040,US,7535,1185.264,0,0,0,8.995,1.5504,17.5439,51.7857,1.9479,5.6324,10.9327,38.8531
MOG/A UN Equity,Moog Inc,2017,US6153942023,3590,201010,US,10675,3090.592,144.646,144.646,144.646,368.073,,3.5088,48.2143,1.573,4.6355,12.8278,29.2899
ADBE UW Equity,Adobe Inc,2017,US00724F1012,7372,451030,US,17973,14535.556,1224.059,1224.059,1224.059,2306.072,44.186,35.0877,71.4286,6.4853,12.4405,21.3281,86.1605
AES UN Equity,AES Corp/The,2017,US00130H1059,4991,551050,US,19000,33112,0,0,0,1223,45.7364,43.8596,71.4286,1.1415,-3.3537,-44.1529,23.4093
DPZ UN Equity,Domino's Pizza Inc,2017,US25754A2015,5140,253010,US,14100,836.753,0,0,0,35.768,,14.0351,55.3571,13.9566,35.7883,,31.0616
MCS UN Equity,Marcus Corp/The,2017,US5663301068,7830,502020,US,3198,1017.797,0,0,0,16.248,1.5504,14.0351,51.7857,1.3071,6.7386,15.5654,47.8901
AMGN UW Equity,Amgen Inc,2017,US0311621009,2836,352010,US,20800,79954,3562,3559,3562,3800,40.3101,35.0877,66.0714,2.2551,2.5117,7.1812,82.1918
MCY UN Equity,Mercury General Corp,2017,US5894001008,6331,403010,US,4300,5101.323,,,,291.413,3.5714,13.3333,51.7857,1.2344,2.9298,8.2462,
AAPL UW Equity,Apple Inc,2017,US0378331005,3571,452020,US,123000,375319,11581,11581,11581,20289,62.5,29.8246,60.7143,2.7479,13.8739,36.8675,38.4699
ADSK UW Equity,Autodesk Inc,2017,US0527691069,7372,451030,US,9000,4798.1,766.1,766.1,766.1,1213.1,40.3101,63.1579,62.5,4.5818,-11.2882,-49.4731,83.1659
MTRX UW Equity,Matrix Service Co,2017,US5768531056,1700,201030,US,4001,586.03,0,0,0,43.805,,14.0351,55.3571,0.8753,-0.0318,-0.0573,6.7643
CTAS UW Equity,Cintas Corp,2017,US1729081059,2320,202010,US,42000,6844.057,0,0,0,169.266,8.5271,19.2982,58.9286,2.6021,8.7858,22.798,44.714
CSR UN Equity,Centerspace,2017,US15202L1070,6798,601010,US,465,1474.514,,,,28.819,#N/A N/A,#N/A N/A,51.7857,1.1833,2.6844,6.8117,
MYE UN Equity,Myers Industries Inc,2017,US6284641098,3089,151030,US,1900,355.942,0,0,0,2.52,1.5504,8.7719,51.7857,2.4073,-2.6813,-10.5886,28.7826
CMCSA UW Equity,Comcast Corp,2017,US20030N1019,4841,502010,US,164000,187462,0,0,0,3428,9.3023,40.3509,64.2857,1.6262,12.3573,37.1005,70.1808
TAP UN Equity,Molson Coors Beverage Co,2017,US60871R2094,2082,302010,US,17200,30246.9,0,0,0,418.6,37.9845,59.6491,76.7857,1.1554,5.2547,12.8343,43.3172
PKG UN Equity,Packaging Corp of America,2017,US6951561090,2650,151030,US,14600,6197.5,12.8,12.8,12.8,216.9,53.4884,38.5965,57.1429,2.4821,11.1671,33.6343,22.8211
KLAC UW Equity,KLA Corp,2017,US4824801009,3827,453010,US,5990,5532.173,526.688,522.66,526.688,1153.051,15.5039,28.0702,55.3571,3.3546,17.6486,91.894,63.0399
SLP UW Equity,Simulations Plus Inc,2017,US8292141053,7373,351030,US,86,38.5125,1.3676,1.3676,1.3676,6.2157,,8.7719,51.7857,6.835,17.4518,23.8479,73.8677
NBTB UW Equity,NBT Bancorp Inc,2017,US6287781024,6021,401010,US,1733,9136.812,,,,156.852,1.7857,16.6667,55.3571,1.0705,0.9126,8.7792,
MKC UN Equity,McCormick & Co Inc/MD,2017,US5797802064,2090,302020,US,11700,10385.8,66.1,66.1,66.1,186.8,46.5116,49.1228,60.7143,2.0424,6.3561,22.8066,37.9257
NDSN UW Equity,Nordson Corp,2017,US6556631025,3569,201060,US,7532,3414.539,52.462,,,90.383,13.9535,28.0702,55.3571,2.803,10.1356,29.4756,55.1045
NEOG UW Equity,Neogen Corp,2017,US6404911066,2835,351010,US,1413,528.409,10.385,10.385,10.385,77.567,1.5504,8.7719,51.7857,4.6828,8.9524,10.0005,47.5583
GCO UN Equity,Genesco Inc,2017,US3715321028,5661,255040,US,7425,1440.999,0,0,0,48.301,2.0833,3.5088,55.3571,1.1791,6.5342,10.3978,49.4197
JWN UN Equity,Nordstrom Inc,2017,US6556641008,5651,255030,US,72500,7858,0,0,0,1007,16.6667,52.6316,55.3571,1.8159,4.5513,40.6663,36.0304
XPO UN Equity,XPO Logistics Inc,2017,US9837931008,4700,203040,US,95000,12602,0,0,0,397,28.6822,7.0175,53.5714,1.5917,2.7983,10.127,47.1296
NNN UN Equity,National Retail Properties Inc,2017,US6374171063,6798,601010,US,66,6560.534,,,,1.364,1.5504,3.5088,51.7857,1.5206,4.1098,7.0007,
PCAR UW Equity,PACCAR Inc,2017,US6937181088,3711,201060,US,25000,23440.2,264.7,264.7,264.7,2364.7,13.1783,17.5439,50,1.7233,7.6009,22.5949,18.9033
CADE UN Equity,Cadence Bank,2017,US12740C1036,6022,401010,US,3947,15298.518,,,,167.283,,13.3333,55.3571,1.0737,1.0194,8.9041,
NVR UN Equity,NVR Inc,2017,US62944T1051,1531,252010,US,5200,2989.279,0,0,0,666.794,,8.7719,51.7857,4.7947,19.084,36.9439,20.861
COST UW Equity,Costco Wholesale Corp,2017,US22160K1051,5331,301010,US,133000,36347,0,0,0,4546,21.875,28.0702,51.7857,2.6069,7.7082,23.4414,13.2866
NWN UN Equity,Northwest Natural Holding Co,2017,US66765N1054,4931,551020,US,1146,3039.746,0,,,3.472,7.5862,21.875,58.9286,1.3175,-1.8179,-6.9822,57.3857
CBSH UW Equity,Commerce Bancshares Inc/MO,2017,US2005251036,6022,401010,US,4800,24833.415,,,,438.439,9.8214,16.6667,55.3571,1.1368,1.2655,12.4802,
ODFL UW Equity,Old Dominion Freight Line Inc,2017,US6795801009,4213,203040,US,19183,3068.424,0,0,0,127.462,6.2016,8.7719,51.7857,3.7896,16.0902,22.4696,26.0676
SYK UN Equity,Stryker Corp,2017,US8636671013,3841,351010,US,33000,22197,787,787,787,2542,1.5504,14.0351,51.7857,3.1616,4.7851,10.453,65.7345
TSN UN Equity,Tyson Foods Inc,2017,US9024941034,2015,302020,US,122000,28066,113,0,0,318,42.6357,49.1228,60.7143,1.5482,7.0342,17.6088,13.2305
CUZ UN Equity,Cousins Properties Inc,2017,US2227955026,6798,601010,US,261,4204.619,,,,148.929,13.9535,3.5088,51.7857,1.2664,5.164,8.2963,
TRMK UW Equity,Trustmark Corp,2017,US8984021027,6021,401010,US,2893,13797.953,,,,335.768,,11.6667,51.7857,1.0425,0.7781,6.8327,
AMAT UW Equity,Applied Materials Inc,2017,US0382221051,3674,453010,US,18400,19419,1781,1781,1781,5010,41.0853,33.3333,69.6429,3.613,20.7067,42.4846,44.9857
