Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,Country or Territory of Domicile,Number of Employees,Total Assets,R&D Expense,R&D Expense Adjusted,Operating Expenses R&D,Cash and Cash Equivalents,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Tobin's Q Ratio,Return on Assets,Return on Common Equity,Gross Margin
CLDT UN Equity,Chatham Lodging Trust,2016,US16208T1025,6798,601010,US,45,1302.954,#N/A N/A,#N/A N/A,#N/A N/A,12.118,1.5504,19.2982,51.7857,1.0857,2.3849,4.5974,#N/A N/A
BKH UN Equity,Black Hills Corp,2016,US0921131092,4911,551030,US,2834,6541.773,0,#N/A N/A,#N/A N/A,13.518,4.1379,17.1875,51.7857,1.2537,1.3067,4.7375,67.566
STX UW Equity,Seagate Technology Holdings PLC,2016,IE00BKVD2N49,3572,452020,US,45500,8213,1237,1237,1237,1125,30.2326,33.3333,57.1429,1.6598,2.7467,10.7569,23.4319
LEA UN Equity,Lear Corp,2016,US5218652049,3714,251010,US,148400,9900.6,0,0,0,1271.6,21.7054,19.2982,51.7857,1.6195,10.1013,32.587,11.3274
MTRN UN Equity,Materion Corp,2016,US5766901012,3460,151040,US,2550,741.298,12.802,12.802,12.802,31.464,#N/A N/A,#N/A N/A,48.2143,1.3991,3.4691,5.2689,18.9286
IP UN Equity,International Paper Co,2016,US4601461035,2621,151030,US,55000,33093,20,20,20,1033,31.7829,43.8596,66.0714,1.5282,2.8417,21.9818,31.167
CBT UN Equity,Cabot Corp,2016,US1270551013,2890,151010,US,4300,3035,53,48,53,200,40.3101,43.8596,60.7143,1.6545,4.8118,11.6427,23.849
CSL UN Equity,Carlisle Cos Inc,2016,US1423391002,3060,201020,US,12000,3965.8,48.1,48.1,48.1,385.3,1.5504,17.5439,50,2.165,6.3157,10.4273,31.4877
ABT UN Equity,Abbott Laboratories,2016,US0028241000,2834,351010,US,75000,52666,1422,1422,1422,18620,54.2636,31.5789,71.4286,1.6842,2.9815,6.7067,56.7257
AFL UN Equity,Aflac Inc,2016,US0010551028,6321,403010,US,10212,129819,#N/A N/A,#N/A N/A,#N/A N/A,4859,13.3929,28.3333,66.0714,1.0598,2.1434,13.9251,#N/A N/A
APD UN Equity,Air Products and Chemicals Inc,2016,US0091581068,2810,151010,US,18300,18028.6,71.6,71.6,71.6,1293.2,56.5891,57.8947,80.3571,2.4198,3.5693,8.809,31.0127
ROCC UW Equity,Ranger Oil Corp,2016,US70788V1026,1311,101020,US,59,291.686,0,0,0,6.761,#N/A N/A,#N/A N/A,48.2143,2.8824,259.2764,#N/A N/A,50.9915
VC UW Equity,Visteon Corp,2016,US92839U2069,3714,251010,US,10000,2373,295,0,0,878,11.6279,24.5614,66.0714,1.8703,2.1265,9.1296,14.6789
CHTR UW Equity,Charter Communications Inc,2016,US16119P1084,4841,502010,US,91500,149067,0,0,0,1535,#N/A N/A,22.807,51.7857,1.2501,3.7392,#N/A N/A,52.3911
AM UN Equity,Antero Midstream Corp,2016,US03676B1026,#N/A N/A,101020,US,#N/A N/A,17.369,0,#N/A N/A,#N/A N/A,9.609,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,105.497,179.3849,#N/A N/A
CHE UN Equity,Chemed Corp,2016,US16359R1032,8082,351020,US,14613,880.059,0,0,0,15.31,1.5504,3.5088,51.7857,3.3548,12.5541,20.9655,29.2635
HES UN Equity,Hess Corp,2016,US42809H1077,2911,101020,US,2304,28621,0,0,0,2732,77.686,73.4375,69.6429,1.2012,-19.5355,-37.025,38.2822
CMC UN Equity,Commercial Metals Co,2016,US2017231034,3312,151040,US,8388,3130.869,0,0,0,517.544,19.3798,22.807,60.7143,1.1316,1.6668,3.9849,14.2884
CUTR UW Equity,Cutera Inc,2016,US2321091082,3845,351010,US,297,91.854,11.232,11.232,11.232,13.775,#N/A N/A,#N/A N/A,48.2143,2.9374,3.043,4.6414,57.7141
CTS UN Equity,CTS Corp,2016,US1265011056,3672,452030,US,2796,517.697,24.04,24.04,24.04,113.805,#N/A N/A,#N/A N/A,48.2143,1.8036,6.8687,11.4689,35.4009
CW UN Equity,Curtiss-Wright Corp,2016,US2315611010,3590,201010,US,8000,3037.781,58.592,58.592,58.592,553.848,3.876,24.5614,55.3571,2.0055,6.2159,14.712,35.5859
APOG UW Equity,Apogee Enterprises Inc,2016,US0375981091,3231,201020,US,4614,657.44,8,8,8,60.47,#N/A N/A,#N/A N/A,51.7857,2.1016,10.2942,16.5702,24.824
DBD UN Equity,Diebold Nixdorf Inc,2016,US2536511031,3578,452020,US,25000,5270.3,110.2,105.1,110.2,652.7,15.5039,19.2982,55.3571,1.2464,-0.8785,-6.575,21.7622
DCI UN Equity,Donaldson Co Inc,2016,US2576511099,3564,201060,US,11700,1787,55.5,55.5,55.5,243.2,14.7287,22.807,55.3571,3.2574,10.6103,24.7439,33.9954
ADM UN Equity,Archer-Daniels-Midland Co,2016,US0394831020,2070,302020,US,31800,39769,123,0,0,619,38.7597,43.8596,71.4286,1.2259,3.2005,7.2936,5.8031
BHF UW Equity,Brighthouse Financial Inc,2016,US10922N1037,6311,403010,US,#N/A N/A,221930,#N/A N/A,#N/A N/A,#N/A N/A,5228,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-1.3101,-18.542,#N/A N/A
DY UN Equity,Dycom Industries Inc,2016,US2674751019,1623,201030,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ESE UN Equity,ESCO Technologies Inc,2016,US2963151046,3669,201060,US,2419,978.371,0,0,0,53.825,#N/A N/A,#N/A N/A,48.2143,1.5915,4.9802,7.6515,38.612
ADP UW Equity,Automatic Data Processing Inc,2016,US0530151036,7374,451020,US,57000,43670,0,0,0,3191.1,8.5271,12.2807,58.9286,1.856,3.8877,32.131,41.3746
